,Date,Open,High,Low,Close
126,2017-11-15,337.96,340.91,329.81,333.36
125,2017-11-16,333.44,336.16,323.61,330.92
124,2017-11-17,330.17,334.96,327.52,332.39
123,2017-11-18,331.98,349.62,327.69,347.61
122,2017-11-19,347.4,371.29,344.74,354.39
121,2017-11-20,354.09,372.14,353.29,366.73
120,2017-11-21,367.44,372.47,350.69,360.4
119,2017-11-22,360.31,381.42,360.15,380.65
118,2017-11-23,381.44,425.55,376.09,410.17
117,2017-11-24,412.5,480.97,402.76,474.91
116,2017-11-25,475.68,485.19,461.05,466.28
115,2017-11-26,465.97,472.72,451.61,471.33
114,2017-11-27,471.53,493.4,468.49,480.36
113,2017-11-28,480.52,482.48,466.35,472.9
112,2017-11-29,473.28,522.31,425.07,427.52
111,2017-11-30,431.21,465.5,401.24,447.11
110,2017-12-01,445.21,472.61,428.31,466.54
109,2017-12-02,466.85,476.24,456.65,463.45
108,2017-12-03,463.7,482.81,451.85,465.85
107,2017-12-04,466.05,474.78,453.31,470.2
106,2017-12-05,470.29,473.56,457.66,463.28
105,2017-12-06,462.6,462.71,420.21,428.59
104,2017-12-07,426.37,441.4,414.41,434.41
103,2017-12-08,434.99,466.06,422.37,456.03
102,2017-12-09,457.34,504.15,456.25,473.5
101,2017-12-10,472.79,472.79,429.51,441.72
100,2017-12-11,440.36,516.97,439.1,515.14
99,2017-12-12,522.29,657.32,504.49,651.43
98,2017-12-13,644.91,747.99,597.8,702.77
97,2017-12-14,700.59,753.12,664.99,695.82
96,2017-12-15,696.38,697.13,621.06,684.45
95,2017-12-16,686.19,718.38,680.79,696.21
94,2017-12-17,696.24,735.83,696.24,719.98
93,2017-12-18,721.73,803.93,689.23,794.64
92,2017-12-19,793.9,881.94,785.34,826.82
91,2017-12-20,827.52,845.06,756.0,819.09
90,2017-12-21,820.24,880.54,792.69,821.06
89,2017-12-22,822.64,827.68,543.76,674.86
88,2017-12-23,681.32,763.89,679.73,719.39
87,2017-12-24,721.77,721.77,614.92,694.15
86,2017-12-25,698.87,782.52,698.87,765.83
85,2017-12-26,763.37,786.79,760.93,773.84
84,2017-12-27,774.97,789.25,738.41,762.84
83,2017-12-28,762.21,763.32,701.19,737.02
82,2017-12-29,740.39,770.12,729.61,753.59
81,2017-12-30,753.82,753.82,685.23,717.26
80,2017-12-31,712.21,760.35,710.12,756.73
79,2018-01-01,755.76,782.53,742.0,772.64
78,2018-01-02,772.35,914.83,772.35,884.44
77,2018-01-03,886.0,974.47,868.45,962.72
76,2018-01-04,961.71,1045.08,946.09,980.92
75,2018-01-05,975.75,1075.39,956.33,997.72
74,2018-01-06,995.15,1060.71,994.62,1041.68
73,2018-01-07,1043.01,1153.17,1043.01,1153.17
72,2018-01-08,1158.26,1266.93,1016.05,1148.53
71,2018-01-09,1146.0,1320.98,1145.49,1299.74
70,2018-01-10,1300.34,1417.38,1226.6,1255.82
69,2018-01-11,1268.09,1337.3,1135.17,1154.93
68,2018-01-12,1158.29,1296.04,1120.09,1273.2
67,2018-01-13,1270.47,1432.88,1270.47,1396.42
66,2018-01-14,1397.48,1400.56,1286.21,1366.77
65,2018-01-15,1365.21,1390.59,1290.6,1291.92
64,2018-01-16,1292.63,1292.63,875.54,1053.69
63,2018-01-17,1061.34,1090.23,780.92,1014.25
62,2018-01-18,1016.44,1100.31,967.76,1036.28
61,2018-01-19,1028.82,1093.22,1003.71,1039.1
60,2018-01-20,1044.95,1167.11,1044.95,1155.15
59,2018-01-21,1155.68,1155.68,1021.5,1049.58
58,2018-01-22,1055.35,1089.1,930.74,1003.26
57,2018-01-23,1004.17,1023.23,920.54,986.23
56,2018-01-24,987.48,1062.44,965.81,1058.78
55,2018-01-25,1063.22,1104.66,1034.74,1056.03
54,2018-01-26,1052.7,1080.6,996.78,1055.17
53,2018-01-27,1055.75,1121.98,1042.12,1107.07
52,2018-01-28,1111.78,1257.77,1111.78,1246.01
51,2018-01-29,1246.7,1256.7,1169.08,1182.36
50,2018-01-30,1184.13,1184.63,1058.97,1071.13
49,2018-01-31,1071.09,1128.66,1034.5,1118.31
48,2018-02-01,1119.37,1161.35,984.82,1036.79
47,2018-02-02,1035.77,1035.77,757.98,915.78
46,2018-02-03,919.21,991.94,847.69,964.02
45,2018-02-04,964.67,969.03,805.06,834.68
44,2018-02-05,834.96,856.65,644.6,697.95
43,2018-02-06,707.74,796.44,574.42,793.12
42,2018-02-07,790.43,851.2,723.43,757.07
41,2018-02-08,755.84,845.09,755.84,817.81
40,2018-02-09,818.48,884.0,788.83,883.87
39,2018-02-10,882.47,917.4,825.58,860.41
38,2018-02-11,859.29,859.29,788.22,814.66
37,2018-02-12,817.51,875.94,817.51,868.71
36,2018-02-13,869.29,870.71,828.84,845.26
35,2018-02-14,844.28,926.43,844.28,923.56
34,2018-02-15,923.73,951.95,911.11,936.98
33,2018-02-16,934.79,950.0,917.85,944.21
32,2018-02-17,944.75,976.6,940.75,974.12
31,2018-02-18,973.35,982.93,915.45,923.92
30,2018-02-19,921.67,957.78,921.55,943.87
29,2018-02-20,943.57,965.26,892.95,895.37
28,2018-02-21,894.13,912.38,830.56,849.97
27,2018-02-22,849.26,875.93,802.67,812.85
26,2018-02-23,811.59,886.32,794.79,864.19
25,2018-02-24,861.59,879.53,818.55,840.51
24,2018-02-25,839.46,853.15,822.38,844.81
23,2018-02-26,845.28,880.39,842.32,869.32
22,2018-02-27,870.37,896.26,867.1,878.26
21,2018-02-28,877.93,890.11,855.12,855.2
20,2018-03-01,856.01,880.3,851.92,872.2
19,2018-03-02,871.76,876.38,852.42,856.85
18,2018-03-03,856.71,868.45,855.21,857.23
17,2018-03-04,856.19,867.95,840.28,866.68
16,2018-03-05,866.85,869.92,853.52,853.68
15,2018-03-06,853.82,853.82,809.93,816.95
14,2018-03-07,816.27,825.61,726.55,752.83
13,2018-03-08,752.57,773.77,696.17,704.6
12,2018-03-09,702.2,729.16,648.11,728.92
11,2018-03-10,730.16,748.03,682.7,686.89
10,2018-03-11,685.31,735.83,668.12,723.34
9,2018-03-12,724.41,742.51,683.27,699.83
8,2018-03-13,698.15,713.74,682.35,690.83
7,2018-03-14,691.22,702.78,594.1,614.29
6,2018-03-15,614.84,620.62,579.5,611.3
5,2018-03-16,611.78,623.17,587.86,601.67
4,2018-03-17,601.68,609.15,549.1,552.78
3,2018-03-18,551.64,551.64,460.09,538.64
2,2018-03-19,546.63,558.1,519.12,556.73
1,2018-03-20,556.72,567.09,521.2,557.17
0,2018-03-21,559.1,589.61,550.57,561.73
